rank,doc_id,activation,pile_set_name,subdir,snippet,label
1,77,246.43450927734375,Pile-CC,pile,"I got a wake up call, I got to make this workCause if we don´t we´re left with nothing and that´s what hurtsWe´re so close to giving up but something keeps us here  I can´t see what´s yet to comeBut I have imagined life without you and it feels wrong",
2,575,245.6072998046875,Pile-CC,pile,"Very well, this is not the first story that I write in English, but is the first that is going to be published and NOT removed  Very well, this is not the first story that I write in English, but is the first that is going to be published and WONT be",
3,139,244.28846740722656,Pile-CC,pile,#1 Free Stationery Download Site  Kathy and I would like to formally welcome you to our new free holiday and special occasion stationery website. We are working hard to add as many new stationery papers as we can as quickly as we can. We are adding n,
4,916,239.69644165039062,StackExchange,pile,Q:  Is there any way to break on the next line of code executed in Visual Studio?  I'm trying to track down a bug that occurs when I click a particular element on an aspx page... In the past I've had to track down the class that handles that particul,
5,763,236.1689910888672,Pile-CC,pile,"Menu  What’s your WHY?  What’s your WHY?! Did you know one of the things I hate the most is pictures and videos of myself. Yes, you got that right, I’ve made a living off of posting pictures and videos of myself to social media. Something I highly DI",
6,491,235.5397186279297,StackExchange,pile,"Q:  How can I find out which apps I have already downloaded on my iPhone?  When you attempt to download an app that costs money, you will not be charged if you already bought the app. After you press buy and enter your iTunes password, it will say ""Y",
7,74,232.21920776367188,StackExchange,pile,Q:  Is it ok to ask questions on Stack Overflow to improve my coding skills?  I have some questions I want to ask to other (experienced) programmers on Stack Overflow. The goal of those questions is gaining knowledge to become a better programmer. I,
8,1482,231.56443786621094,StackExchange,pile,"Q:  Xcode code completion, search through whole method name  Is there any way to have Xcode's code completion search the whole method name for the characters I start typing? For example if I start typing [self con I want things like navigationControl",
9,1952,231.2899932861328,StackExchange,pile,"Q:  Difference between Formatter and Factory Function  ​Hello, Please explain what is the difference between Factory and Formatter function. Because as I see both can be used to format or manipulate the output results.  How to choose between both of",
10,1722,228.37322998046875,Pile-CC,pile,Let me first welcome you to the Debian Users Forum. We hope your visit here will both help and enlighten you in your Debian experience.  We do have a few expectations of what you have done already to find your answer.1) We expect that you have used G,
11,818,228.1482696533203,StackExchange,pile,Q:  Is it possible to know the probability that a trade is successful?  I'm trying to model the distribution of different outcomes of day trading every day for a year. I'm starting with $350 dollars. I'm only doing options trading on Apple stock with,
12,82,226.2762908935547,HackerNews,pile,"Ask HN: How to approach two competing job offers - is bidding war an option? - mbord  I studied Computer Science, and I recently graduated as a bachelor. I went on to apply to two major Silicon Valley companies, let's call them A and B, and aced th",
13,701,224.48167419433594,StackExchange,pile,Q:  How do I respond to Mod question?  I flagged an answer as abusive because of the derogatory language the author used to reference another user (the answer has since been edited but you can see the original text in the edit history).  I was using,
14,397,223.58995056152344,StackExchange,pile,Q:  How to measure g using a metre stick and a ball  Can I measure the value of g using only a metre stick and a ball? I am not supposed to use a stopwatch and that has been the problem. NOTE: I do not know if a solution exists or not.  A:  No you ca,
15,392,221.4070587158203,StackExchange,pile,Q:  Free Software for Partition Manager  Free Software for the Partition Manager on Windows XP/vista?    A:  Try GParted Live.  You can create a Boot CD and use that to work with partitions.  A:  Windows Vista now has a built in partition manager. Yo,
16,567,221.0570068359375,Pile-CC,pile,"This blog was originally a set of reflections as a student teacher, full time teacher, and then technology director in K-12 education. It is currently a place for educational technology reflections and features a few interesting assignments during my",
17,1943,219.6151580810547,Pile-CC,pile,"The reason that I was quite silent during the last days is called WACK. It is something that my colleague Manfred Weber and me here at coma2 are working on. We think that it might be quite useful.  WACK means ""Window Application Control Kit"" and does",
18,772,219.42962646484375,Pile-CC,pile,When doing queries to a database it’s very common to have a unified way to obtain data from it. In quepy we called it keyword. To use the Keywords in a quepy project you must first configurate what’s the relationship that you’re using. You do this by,
19,1702,218.3700714111328,StackExchange,pile,"Q:  Access: generating a .DOC file cannot be opened on an iDevice  I am generating a .DOC file in an old access-VBA application using the typical  GetObject("""", Word.Document) strategy.  I can open this .doc just fine in windows, however I cannot ope",
20,973,217.6843719482422,Pile-CC,pile,Why knowing your purpose saves you so much time in life  I used to be a person who always wanted to please everyone in my life. The truth of it is that there is nothing wrong in wanting to make those around you proud however it becomes a barrier for,
